source_id,J mag,Ks mag,J-Ks (0.50-0.90),Status,Reasons,_passed,_ra,_dec
1.632274532427332e+17,12.1,10.71,1.39,FAILED,J-Ks=1.39,False,63.333251839356954,28.172959234373355
1.5114921063577805e+17,12.17,10.88,1.28,FAILED,J-Ks=1.28,False,68.07986992635716,26.46726951193044
1.4759889188546688e+17,12.36,11.06,1.3,FAILED,J-Ks=1.30,False,68.92230271522764,24.025259984413438
