source_id,W1-W2 (< 0.50),Status,Reasons,_passed,W1 mag,W2 mag,_ra,_dec
6.014690931678668e+18,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,
2.2795522473818496e+18,0.18,PASSED,W1-W2=0.18 — Clean,True,10.5,10.32,339.45661372632003,75.06846628885648
1.644807934188828e+17,0.1,PASSED,W1-W2=0.10 — Clean,True,11.01,10.91,64.43314125427845,28.099173872134777
1.5114921063577805e+17,0.01,PASSED,W1-W2=0.01 — Clean,True,10.72,10.71,68.07986992635716,26.46726951193044
5.056939475503006e+18,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,
1.4759889188546688e+17,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,
3.0200476576677325e+18,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,
