source_id,J mag,H mag,Ks mag,J-Ks (0.50-0.90),Status,Reasons,_passed,_ra,_dec
1.632274532427332e+17,0.0,0.02,0.01,-0.01,FAILED,J-Ks=-0.01,False,63.333251839356954,28.172959234373355
1.5114921063577805e+17,0.02,0.02,0.01,0.0,FAILED,J-Ks=0.00,False,68.07986992635716,26.46726951193044
1.4759889188546688e+17,0.01,0.02,0.01,-0.0,FAILED,J-Ks=-0.00,False,68.92230271522764,24.025259984413438
