source_id,TIC ID,Tmag,Contamination (<= 0.10),Status,Reasons,_passed,_ra,_dec
4.2719891565484093e+18,43756638,16.4975,nan,FAILED,High contamination: nan,False,278.0877811903528,-1.2579266236586197
6.014690931678668e+18,99040035,13.4098,nan,FAILED,High contamination: nan,False,236.2654575688708,-34.47241937747922
2.2795522473818496e+18,367072877,13.2925,nan,FAILED,High contamination: nan,False,339.45661372632003,75.06846628885648
1.644807934188828e+17,58229081,14.868,0.00212797849,PASSED,TESS match successful,True,64.43314125427845,28.099173872134777
1.5114921063577805e+17,268325940,14.1866,0.00568592828,PASSED,TESS match successful,True,68.07986992635716,26.46726951193044
5.056939475503006e+18,423765332,14.0756,nan,FAILED,High contamination: nan,False,51.79501213071295,-29.10031876785765
1.4759889188546688e+17,268511154,14.5219,0.00108301849,PASSED,TESS match successful,True,68.92230271522764,24.025259984413438
2.0612380589985224e+18,13968350,16.9948,nan,FAILED,High contamination: nan,False,305.7232189026841,39.24621101096566
1.8260020860411203e+18,376323117,16.4042,nan,FAILED,High contamination: nan,False,294.3232249845989,20.599657197171254
2.4887281798761426e+18,251064423,17.2217,nan,FAILED,High contamination: nan,False,36.787398169010686,-5.235312898992589
1.6377214357014723e+18,233201028,17.3675,nan,FAILED,High contamination: nan,False,265.27916341045454,68.9058009952198
4.3233988499545533e+18,369411937,16.0351,nan,FAILED,High contamination: nan,False,292.2094528034371,18.81143515206121
5.787240076540478e+18,357469997,16.3722,nan,FAILED,High contamination: nan,False,185.31158606247885,-80.26212285755507
1.5692013485419584e+17,96680688,17.3724,nan,FAILED,High contamination: nan,False,73.83481004153445,30.54274932643883
5.865413845764818e+18,322607415,16.0677,nan,FAILED,High contamination: nan,False,206.18290043113387,-62.88821731672167
4.1082633153005926e+18,81279410,16.7689,nan,FAILED,High contamination: nan,False,259.56742716103406,-26.71965976515576
5.46635056292246e+17,396061393,17.1069,nan,FAILED,High contamination: nan,False,37.86193037278458,72.71200021722409
5.338484614852162e+18,305452268,15.9161,nan,FAILED,High contamination: nan,False,165.96773388067916,-59.83706367046528
2.0152441175190723e+18,377612321,15.4134,nan,FAILED,High contamination: nan,False,348.17096688830475,62.36999389157922
2.01472617882166e+18,434891195,15.3308,nan,FAILED,High contamination: nan,False,345.93625859266643,61.471635719440656
1.4785850977251174e+17,268323980,16.3723,nan,FAILED,High contamination: nan,False,67.9909642546025,24.602945997994926
2.2073447761662653e+18,434810832,15.4485,nan,FAILED,High contamination: nan,False,345.74843509678556,62.19229831791292
3.0078027402677453e+18,143174781,14.7892,nan,FAILED,High contamination: nan,False,93.85475492294906,-6.427128876070825
2.1631487724210816e+18,276014548,15.3494,nan,FAILED,High contamination: nan,False,312.84503454566203,44.561831601666285
2.2163817309606216e+18,410240854,15.2884,nan,FAILED,High contamination: nan,False,328.1338109044221,62.72506911210849
3.018531091831202e+18,71915742,14.4817,nan,FAILED,High contamination: nan,False,91.50556183205296,-6.184555827830826
3.0157291582474486e+18,279640959,15.597,nan,FAILED,High contamination: nan,False,85.7074768443671,-8.202857068617858
2.0612155576737142e+18,14408460,14.8264,nan,FAILED,High contamination: nan,False,306.1015599002334,38.962998232106706
3.326606205461577e+18,220291406,14.9371,nan,FAILED,High contamination: nan,False,99.99683103577998,9.456790855043868
4.270675923046648e+18,2176236,15.9325,1.89222538,FAILED,High contamination: 1.89222538,False,274.10857505052735,-2.5437813188604155
2.28086385737769e+18,366500789,16.3375,nan,FAILED,High contamination: nan,False,330.9429033370993,76.56289972784347
2.063735775762434e+18,65432043,15.8991,nan,FAILED,High contamination: nan,False,310.3625761361195,39.624971666005585
