source_id,Input ID,Teff (3900-5300 K),logg (>= 4.0),Parallax SNR (> 5),RUWE (< 1.4),Status,Reasons,_passed,_ra,_dec
1.509036415856864e+17,COORD_67.4836301_25.1397233,4607,4.88,1.6,1.04,FAILED,Parallax SNR=1.6 (need >5),False,67.48801446179749,25.138347385858893
1.508969457323374e+17,COORD_67.3301237_25.0979065,5967,4.28,8.3,0.97,FAILED,Teff=5967K (need 3900-5300),False,67.32708719060896,25.102066559159244
1.5090171744017062e+17,COORD_67.3924711_25.0720661,5867,4.10,29.1,1.03,FAILED,Teff=5867K (need 3900-5300),False,67.38818587995384,25.075143442559224
