target_id,ra,dec
SSTSL2 J183221.07-011528.4,278.087793,-1.257906
SSTSL2 J154503.74-342820.5,236.265607,-34.472387
SSTSL2 J223749.58+750406.4,339.456593,75.068451
SSTSL2 J041319.96+281023.5,63.333205,28.173203
SSTSL2 J041743.94+280557.1,64.4331,28.099215
SSTSL2 J053306.23-004219.7,83.275969,-0.705495
SSTSL2 J043219.18+262802.3,68.079945,26.467315
SSTSL2 J042901.24+261544.6,67.255191,26.262399
SSTSL2 J032710.83-290601.0,51.795141,-29.100291
SSTSL2 J041834.74+280155.1,64.644767,28.031989
SSTSL2 J043541.34+240131.0,68.922272,24.025291
,199.579784,-62.653421
,97.96014,4.86395
,304.583471,39.324256
,305.72326,39.246236
,70.488159,25.334916
,294.323253,20.599688
,42.892827,60.59638
,311.769255,42.11962
,91.607525,-5.817197
,247.39399,-49.970539
,329.801359,58.3443
,192.467345,-62.292884
,345.148214,61.291769
,63.766592,28.40643
,36.787308,-5.235252
,305.384583,38.742182
,185.701228,-79.179477
,265.27905,68.905926
,9.326864,40.355506
,43.400642,60.5946
,292.208581,18.816168
,185.28714,-80.261972
,73.834829,30.542819
,304.840279,39.093986
,206.17928,-62.884722
,259.567461,-26.719618
,37.861989,72.711934
,341.026167,59.130673
,165.967675,-59.83708
,306.019875,41.324589
,236.71533,-54.582443
,91.773305,-4.884944
,348.170772,62.370009
,345.93619,61.471642
,312.908081,43.384618
,346.881543,62.453288
,82.670659,12.737833
,67.990903,24.602995
,339.022256,60.5332
,345.748304,62.192297
,312.886564,44.39667
,334.587702,59.391356
,93.854751,-6.42711
,297.044505,24.381381
,314.361243,43.591659
,312.844941,44.561821
,243.651242,-50.051734
,313.98791,44.259922
,308.489319,38.315219
,339.099971,75.194232
,305.172961,40.816439
,177.097578,-62.748021
,347.619437,62.678518
,328.133806,62.725098
,315.439192,68.072496
,313.520278,43.019286
,348.089988,62.355306
,91.505591,-6.184555
,85.707479,-8.202854
,306.101556,38.962997
,283.587895,0.877793
,99.99686,9.456825
,313.301251,43.641279
,274.108605,-2.543772
,330.942403,76.56286
,337.732481,60.398372
,261.206226,-36.316534
,314.778026,44.306508
,310.362543,39.624928
,264.903264,-33.54162
,250.332422,41.291447
,85.543155,-9.977303
,91.929775,-5.370207
,85.687556,-8.560014
,345.184568,62.783741
,339.622762,58.925874
,295.290284,11.064052
,263.818695,-31.241244
,313.151949,44.1962
,85.244661,-9.377208
,341.747318,60.691511
,335.626889,63.074557
,312.299096,44.209135
,313.380718,44.226236
,333.605713,58.632031
,342.542655,61.024963
,342.998352,62.13205
,91.698576,-6.46927
,305.287715,40.549062
,343.015097,62.099438
,286.726281,8.502817
,93.704577,-6.361929
,343.25288,62.123326
,325.882481,66.147393
,305.371058,40.822332
,85.770898,-10.017341
,247.392466,-24.019623
,305.715702,41.437254
,305.916653,38.985104
,53.737278,-29.690458
,345.120939,62.737221
,336.396447,62.971355
,93.848425,-6.687849
,250.245697,-48.930767
,313.222641,44.326731
,343.404649,62.180817
,29.387942,-74.377695
,306.02758,38.637868
,85.658392,-10.062224
,80.981589,-66.400994
,342.740096,62.4157
,262.685023,-35.799623
,51.557907,59.017521
,92.962979,-6.506435
,93.750408,-6.44857
,311.082036,41.495802
,91.82437,-6.522066
,70.1833,-69.020129
,44.549543,20.367568
,263.808749,-31.23285
,66.736913,26.032288
,345.201138,61.310928
,339.132052,61.684117
,93.068545,-6.376713
,255.315467,-43.460727
,306.304066,39.115683
,343.909809,63.042085
,312.215403,43.850373
,271.927674,-20.460044
,92.014844,-6.623837
,91.539355,-5.919693
,342.722578,62.24546
,312.249101,44.691035
,305.585353,39.483106
,249.816467,-48.548909
,312.424503,43.983496
,276.982137,-1.558546
,92.062938,-6.234677
,261.792849,-33.332612
,250.413907,-48.673556
,312.240846,43.831965
,313.313049,44.646763
,313.07704,44.087484
,345.138157,61.897453
,277.282362,0.901031
,255.494678,-40.589387
,254.977271,-41.261733
,309.531149,39.231149
,92.657447,-6.175882
,98.027875,4.925167
,341.565396,62.154423
,274.031086,-2.43713
,344.842728,61.773739
,91.942093,-6.900758
,343.059779,62.430464
,277.401492,0.565547
,312.967709,44.305922
,341.919966,62.089036
,67.853732,36.878057
,308.765734,40.188544
,313.143365,44.64013
,91.839588,-6.493555
