source_id,TIC ID (Required),Gaia Teff (K),Tmag,Contamination (<= 0.10),Radius TIC (Rsun),Radius Gaia est. (Rsun),Radius Match (<= 20% diff),Mass TIC (Msun),TESS Sectors,Status,Reasons
COORD_16.92296673815411_-74.42967460840649,4931976151,4500,14.6,0.085,0.516,0.608,MATCH,0.904,4,PASSED,All checks passed
COORD_261.1461450237008_59.20338108819993,NOT FOUND,4500,,,,0.608,NO MATCH,,0,FAILED,Not in TESS catalog
COORD_88.86877603292741_-69.43304988325868,167574757,4500,14.16,0.074,0.873,0.608,MISMATCH,0.689,12,FAILED,Radius mismatch
