source_id,J-Ks (0.50-0.90),Status,Reasons,_passed,J mag,H mag,Ks mag,_ra,_dec
6.014690931678668e+18,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,,
2.2795522473818496e+18,-0.0,FAILED,J-Ks=-0.00,False,0.01,0.0,0.01,339.45661372632003,75.06846628885648
1.644807934188828e+17,-0.0,FAILED,J-Ks=-0.00,False,0.02,0.01,0.02,64.43314125427845,28.099173872134777
1.5114921063577805e+17,0.0,FAILED,J-Ks=0.00,False,0.02,0.02,0.01,68.07986992635716,26.46726951193044
5.056939475503006e+18,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,,
1.4759889188546688e+17,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,,
3.0200476576677325e+18,ERROR,ERROR,UsageFault: BAD_REQUEST: This geometric predicate is currently supported only wh,True,,,,,
