target_id,ra,dec
SSTSL2 J122150.00-632440.1,185.458353,-63.411157
SSTSL2 J222424.77+602910.6,336.10324,60.486282
SSTSL2 J174731.75+052931.4,266.882317,5.492057
SSTSL2 J010741.41-742546.6,16.922553,-74.429621
SSTSL2 J044516.30-680129.1,71.317932,-68.024751
SSTSL2 J182727.87-050921.3,276.866158,-5.15593
SSTSL2 J043826.46-702456.6,69.610282,-70.415748
SSTSL2 J223231.50+610159.1,338.131264,61.033089
SSTSL2 J044740.80-684318.4,71.920024,-68.721795
SSTSL2 J044115.15-685345.9,70.313141,-68.896106
SSTSL2 J224016.36+604741.7,340.068188,60.79493
SSTSL2 J162539.59+423833.4,246.414982,42.642623
SSTSL2 J070300.74-033613.8,105.75309,-3.603849
SSTSL2 J004953.50-735350.7,12.472942,-73.897425
SSTSL2 J015005.23-741931.0,27.521829,-74.3253
SSTSL2 J123248.51-705733.5,188.202135,-70.959309
SSTSL2 J172425.35+601756.0,261.105663,60.29891
SSTSL2 J021420.97-751903.5,33.587388,-75.317654
SSTSL2 J020528.32-744554.5,31.368041,-74.765154
SSTSL2 J194309.98+245706.7,295.791619,24.951874
SSTSL2 J130132.30-771038.0,195.384613,-77.177236
SSTSL2 J011727.12-714607.3,19.363009,-71.768718
SSTSL2 J055528.35-692558.4,88.868157,-69.432899
SSTSL2 J044256.40-690551.2,70.73503,-69.097557
SSTSL2 J221311.22+701231.7,333.296765,70.208821
SSTSL2 J015853.77-731246.1,29.724058,-73.212808
SSTSL2 J004955.34-743434.3,12.480592,-74.576198
SSTSL2 J160337.69+550241.1,240.907058,55.044775
SSTSL2 J014705.36-744849.6,26.772355,-74.8138
SSTSL2 J223234.75+590743.9,338.14481,59.128877
SSTSL2 J022736.84-733831.8,36.903526,-73.642189
SSTSL2 J013207.62-725617.3,23.031788,-72.938141
SSTSL2 J162753.52+422639.2,246.973025,42.444225
SSTSL2 J020814.25-743122.2,32.059416,-74.522845
SSTSL2 J133237.98+624516.2,203.158278,62.754519
SSTSL2 J190359.86-372502.3,285.999426,-37.417306
SSTSL2 J003912.35-725548.2,9.801464,-72.930081
SSTSL2 J172442.90+593453.3,261.178785,59.581474
SSTSL2 J004516.97-734441.9,11.320746,-73.744994
SSTSL2 J221248.65+593050.7,333.202736,59.514094
SSTSL2 J171503.32+603008.7,258.763836,60.502443
SSTSL2 J222609.48+600412.3,336.539526,60.070084
SSTSL2 J162747.30+425958.0,246.947105,42.999468
SSTSL2 J162731.32+421850.5,246.880503,42.314036
SSTSL2 J172558.49-363517.2,261.493712,-36.588112
SSTSL2 J125703.13-791337.6,194.263073,-79.227119
SSTSL2 J142639.02-795317.7,216.662613,-79.888269
SSTSL2 J060014.31-685101.1,90.059634,-68.850311
SSTSL2 J053439.37-655142.3,83.664078,-65.861753
SSTSL2 J021648.45-741231.7,34.201905,-74.208827
SSTSL2 J055012.63-664340.7,87.55266,-66.727999
SSTSL2 J002629.94-725203.4,6.624767,-72.867619
SSTSL2 J005026.91-713859.8,12.612141,-71.649956
SSTSL2 J061105.45-063909.4,92.772742,-6.652616
SSTSL2 J141156.27-651032.3,212.984476,-65.175655
SSTSL2 J132244.94+575806.3,200.687259,57.968425
SSTSL2 J010350.82-710725.5,15.961773,-71.123771
SSTSL2 J013536.96-735647.0,23.904034,-73.946396
SSTSL2 J060224.77-684537.4,90.603235,-68.760401
SSTSL2 J172435.04+591212.6,261.146004,59.203525
SSTSL2 J142245.07-795143.6,215.68783,-79.86213
SSTSL2 J223811.81+584830.6,339.549219,58.808516
SSTSL2 J172021.28+602012.8,260.088667,60.336906
SSTSL2 J022820.75-741838.8,37.086465,-74.310793
SSTSL2 J015127.66-734814.6,27.865276,-73.804057
SSTSL2 J011141.91-743432.3,17.924637,-74.57564
SSTSL2 J162715.42+424016.3,246.814285,42.671221
SSTSL2 J050321.58-652202.3,75.839924,-65.367307
SSTSL2 J052202.22-651045.0,80.509286,-65.179179
SSTSL2 J174613.55+053102.8,266.556492,5.517456
SSTSL2 J050231.83+072712.9,75.632628,7.453588
SSTSL2 J174528.89+052343.3,266.370377,5.39538
SSTSL2 J025613.31+202249.4,44.055484,20.380395
SSTSL2 J083823.73-525732.3,129.598905,-52.958992
SSTSL2 J231930.67+002758.8,349.877806,0.466336
SSTSL2 J221139.88+574525.2,332.916207,57.757017
SSTSL2 J052821.74+014100.5,82.090606,1.683492
SSTSL2 J012254.79+072435.5,20.72832,7.409862
SSTSL2 J132510.49+580628.9,201.293719,58.108034
SSTSL2 J012637.53-713402.3,21.656414,-71.567328
SSTSL2 J220433.05+590403.4,331.137721,59.067634
SSTSL2 J044525.99-705750.6,71.358293,-70.964082
SSTSL2 J101525.57+392338.6,153.856577,39.394082
SSTSL2 J001528.91+361357.0,3.870468,36.232527
SSTSL2 J083817.59-531125.9,129.573292,-53.190528
SSTSL2 J050332.62-693233.2,75.885931,-69.542578
SSTSL2 J172320.90+590716.5,260.837105,59.121255
SSTSL2 J101515.57+391910.7,153.814916,39.319655
SSTSL2 J105027.75+564007.8,162.615642,56.668845
SSTSL2 J033121.84-280040.0,52.841011,-28.011124
