source_id,Teff (3900-5300 K),logg (>= 4.0),Parallax SNR (> 5),RUWE (< 1.4),Status,Reasons,_passed,_ra,_dec
6.053774103316625e+18,4626.5419921875,4.245699882507324,831.9,0.8210468888282776,PASSED,All filters passed,True,185.45804790085825,-63.41119928199942
4.473862579483743e+18,4200.15234375,4.681300163269043,770.9,1.1249605417251587,PASSED,All filters passed,True,266.8824471051658,5.492017351427241
4.656342859292197e+18,4167.59912109375,4.64300012588501,727.6,0.9445716142654419,PASSED,All filters passed,True,71.31817341934601,-68.02451825200984
2.2013611308164956e+18,4548.67919921875,4.607399940490723,777.9,1.0125466585159302,PASSED,All filters passed,True,336.1033412673041,60.48639313921995
2.2017276461438295e+18,4232.771484375,4.691299915313721,665.5,1.2275111675262451,PASSED,All filters passed,True,338.13155805691764,61.03313188312744
4.655632299899322e+18,4431.5185546875,4.672299861907959,689.8,0.900053858757019,PASSED,All filters passed,True,69.61033844980753,-70.41577100390197
4.684781521385645e+18,4099.1181640625,4.692599773406982,742.4,1.1340053081512451,PASSED,All filters passed,True,16.92296673815411,-74.42967460840649
2.2002161225914e+18,5132.5068359375,4.5229997634887695,506.7,0.9661053419113159,PASSED,All filters passed,True,338.14481019321175,59.12885194221668
1.4340438516187668e+18,4597.107421875,4.566199779510498,411.2,1.0032789707183838,PASSED,All filters passed,True,261.1461450237008,59.20338108819993
4.657482056422808e+18,4048.828369140625,4.6697998046875,570.8,1.0152857303619385,PASSED,All filters passed,True,88.86877603292741,-69.43304988325868
4.638620926571715e+18,4555.74658203125,4.593500137329102,535.2,1.212090253829956,PASSED,All filters passed,True,29.72427278771816,-73.21263947454426
4.637241902768565e+18,4545.5615234375,4.661799907684326,598.0,1.1154648065567017,PASSED,All filters passed,True,33.58807301970992,-75.3175821860545
4.637514547293267e+18,4834.25439453125,4.624499797821045,595.1,1.080711007118225,PASSED,All filters passed,True,31.368818684555368,-74.76508027086271
5.852737644978999e+18,N/A,N/A,0.0,N/A,FAILED,Teff=nanK (need 3900-5300); logg=nan (need >=4.0); Parallax SNR=0.0 (need >5); RUWE=nan (need <1.4),False,212.98399175697045,-65.17536406820365
6.719115114960325e+18,3966.398193359375,4.670100212097168,493.5,1.0995529890060425,PASSED,All filters passed,True,285.9994017529559,-37.41733128737604
3.107855622635865e+18,3975.50830078125,4.689899921417236,634.7,1.077364206314087,PASSED,All filters passed,True,105.75298951823272,-3.6039390211881677
1.4341135675279388e+18,4564.90185546875,4.651400089263916,484.4,0.9645680785179138,PASSED,All filters passed,True,261.17886136882413,59.58137378502001
4.638269121507729e+18,4761.33935546875,4.728700160980225,632.5,1.111609697341919,PASSED,All filters passed,True,27.521759220026272,-74.32506796342629
1.381195034956162e+18,4886.755859375,4.639999866485596,498.1,1.1089073419570923,PASSED,All filters passed,True,246.97301387187161,42.444125722494384
4.656169720569143e+18,4582.5234375,4.637700080871582,555.4,1.0641909837722778,PASSED,All filters passed,True,70.73494849882644,-69.09760854995254
