source_id,Input ID,Teff (3900-5300 K),logg (>= 4.0),Parallax SNR (> 5),RUWE (< 1.4),Status,Reasons,_passed,_ra,_dec
5.501064103504826e+18,28566572,4873,4.79,0.8,1.03,FAILED,Parallax SNR=0.8 (need >5),False,96.38133796598534,-52.025544461370956
4.636493032270933e+18,96637649,4419,4.17,14.5,0.97,PASSED,All filters passed,True,24.671193584076395,-77.76777347910154
1.1407824882162813e+18,63843426,6480,4.18,120.0,0.96,FAILED,Teff=6480K (need 3900-5300),False,96.12046466775581,78.59558628134197
4.2071600955500703e+18,45059710,3425,4.61,3.4,0.96,FAILED,Teff=3425K (need 3900-5300); Parallax SNR=3.4 (need >5),False,293.9688464049505,-7.1428417706136225
5.541491088784511e+18,90388981,4539,4.98,4.1,1.44,FAILED,Parallax SNR=4.1 (need >5); RUWE=1.44 (need <1.4),False,122.46007090889577,-37.1713027186454
2.2420842197062546e+18,48285503,4912,4.69,1.4,1.02,FAILED,Parallax SNR=1.4 (need >5),False,290.88655757086315,64.07133902915052
5.84151802210339e+18,96028436,5028,4.59,7.9,1.06,PASSED,All filters passed,True,183.4460032726699,-73.63782016846035
