source_id,Teff (3900-5300 K),logg (>= 4.0),Parallax SNR (> 5),RUWE (< 1.4),Status,Reasons
COORD_16.92296673815411_-74.42967460840649,4812.0,4.6,48.0,1.03,PASSED,All filters passed
COORD_261.1461450237008_59.20338108819993,4582.0,4.79,438.6,1.23,PASSED,All filters passed
COORD_88.86877603292741_-69.43304988325868,5263.0,4.59,36.0,0.91,PASSED,All filters passed
