source_id,Best Period (days),Duration (hours),Depth (ppt),SNR,Planet Candidate?,_candidate,_period,_depth,_duration
1.644807934188828e+17,4.62,2.11,3.04,9.9,NO,False,4.6236405568185575,0.003042476547120278,0.088
1.4759889188546688e+17,7.25,0.24,8.12,10.9,YES,True,7.249938514370864,0.008116831527515073,0.01
