source_id,SIMBAD ID,Spectral Type,Object Type,Status,_passed,_ra,_dec
4.2719891565484093e+18,NOT FOUND,N/A,N/A,NOT IN SIMBAD,True,,
2.2795522473818496e+18,2MASS J22374953+7504065,K7,Or*,TYPE: K7,False,339.45661372632003,75.06846628885648
1.644807934188828e+17,2MASS J04174393+2805573,M2,*,TYPE: M2,False,64.43314125427845,28.099173872134777
1.5114921063577805e+17,UCAC4 583-012422,NOT PUBLISHED,*,FOUND (NO TYPE),True,68.07986992635716,26.46726951193044
5.056939475503006e+18,NOT FOUND,N/A,N/A,NOT IN SIMBAD,True,,
1.4759889188546688e+17,NOT FOUND,N/A,N/A,NOT IN SIMBAD,True,,
1.4811562369504486e+17,NOT FOUND,N/A,N/A,NOT IN SIMBAD,True,,
2.0662367480943311e+18,2MASS J20470461+4207106,NOT PUBLISHED,Y*?,STAR (NO SP TYPE),True,311.76921989038846,42.11961276748942
