target_id,ra,dec
COORD_67.4147527_25.1263917,67.4147527,25.1263917
COORD_67.4144952_25.0794713,67.4144952,25.0794713
COORD_67.4430312_25.1579439,67.4430312,25.1579439
COORD_67.4219456_25.0750089,67.4219456,25.0750089
COORD_67.3142288_25.0451465,67.3142288,25.0451465
COORD_67.4836301_25.1397233,67.4836301,25.1397233
COORD_67.4406947_25.0239454,67.4406947,25.0239454
COORD_67.3009997_25.0381395,67.3009997,25.0381395
COORD_67.3634818_25.044528,67.3634818,25.044528
COORD_67.4575182_25.0807667,67.4575182,25.0807667
COORD_67.3632127_25.0182861,67.3632127,25.0182861
COORD_67.2901116_25.0417647,67.2901116,25.0417647
COORD_67.3301237_25.0979065,67.3301237,25.0979065
COORD_67.3631753_25.0872344,67.3631753,25.0872344
COORD_67.3924711_25.0720661,67.3924711,25.0720661
COORD_67.3810553_25.0152325,67.3810553,25.0152325
COORD_67.4740701_25.0783367,67.4740701,25.0783367
COORD_67.4392626_25.0311088,67.4392626,25.0311088
COORD_67.3979397_25.059616,67.3979397,25.059616
COORD_67.4513427_25.1197269,67.4513427,25.1197269
,67.4198481,25.017943
,67.5049341,25.162138
,67.4448706,24.9915264
,67.4051197,25.17351
,67.3408018,24.9988232
,67.3690324,25.1422306
,67.4737997,25.1362562
,67.4920833,25.0172192
,67.4680664,25.0520168
,67.4895619,25.1156343
,67.4338809,25.0173538
,67.3575985,25.127053
,67.4893111,25.0336358
,67.3833914,25.0969909
,67.4459093,25.0153173
,67.4307648,25.0453443
,67.4465898,25.1206696
,67.3016327,25.0073655
,67.3724441,25.0391643
,67.4696014,25.0304346
,67.441398,25.0788816
,67.3060167,25.045246
,67.4665898,25.1853255
,67.4369431,24.9860761
,67.4521182,25.0112635
,67.3686881,25.0547198
,67.4508998,24.995319
,67.4566888,25.0127589
,67.422029,25.0386216
,67.4196136,24.9980011
,67.4864336,25.0737492
,67.4908253,25.0384646
,67.5158121,24.8975006
,67.5431887,24.848665
,67.6827426,24.9361716
,67.3704665,24.9684471
,67.3658537,24.8479514
,67.5156059,24.9357689
,67.5283365,24.8969444
,67.4122824,24.9640896
,67.3084247,24.9388476
,67.5924444,24.8902741
,67.6180746,24.8975551
,67.340676,24.9437389
,67.6494343,24.9484369
,67.4698665,24.9143544
,67.3689594,24.9494744
,67.3211203,24.9339049
,67.3743183,24.8855459
,67.4422875,24.8775607
,67.4723659,24.919903
,67.6383583,24.8827834
,67.5927247,24.8280952
,67.4674387,24.9491766
,67.6477963,24.8538915
,67.5642197,24.847278
,67.4973139,24.9630766
,67.3950406,24.9622623
,67.6054442,24.9217094
,67.4071017,24.9575941
,67.4596248,24.9127688
,67.6536995,24.8958546
,67.5638544,24.8279649
,67.3794385,24.86768
,67.6043623,24.8320805
,67.6000613,24.8827317
,67.5886849,24.8632418
,67.5922902,24.8344944
,67.3222681,24.97156
,67.42019,24.8302061
,67.3854515,24.9287243
,67.4013984,24.8457182
,67.6291852,24.9722658
,67.4713395,24.8744462
,67.5272754,24.8550673
,67.6610952,24.9498589
,67.6297827,24.8605849
,67.4540482,24.9444161
,67.3038654,24.984558
,67.511762,24.9425868
,67.6053065,24.8459425
,67.6427422,24.8923999
,67.5303693,24.8156879
,67.4559105,24.8550299
,67.6607555,24.9074189
,67.5118967,24.9053019
,67.4642695,24.9471886
,67.460595,24.9454288
,67.6154449,24.9481069
,67.3119286,24.9625536
,67.5508251,25.118741
,67.6043997,25.1725811
,67.5112358,25.1642694
,67.591744,25.120962
,67.5169783,25.111067
,67.6167594,24.9889601
,67.5775342,25.1846582
,67.5350228,24.9937892
,67.6332806,25.0284105
,67.5585704,25.0477072
,67.6152001,25.0619617
,67.514737,25.0284334
,67.5236587,25.0952837
,67.6208347,25.1601157
,67.5593588,25.0179339
,67.6103685,25.019983
,67.6523579,25.0117052
,67.5125671,24.9953287
,67.5479501,24.9886379
,67.5087872,25.1864058
,67.5975256,25.1525001
,67.5508768,25.1071049
,67.6012863,24.9942371
,67.6369163,25.0754073
,67.5929795,25.0593764
,67.6162025,25.0114296
,67.6529922,25.0056931
,67.5083197,25.0202632
,67.5949259,24.987233
,67.5326819,24.9913993
,67.5166977,25.1219541
,67.5166946,25.1775714
,67.6407424,25.0275631
,67.5374844,25.1727845
,67.5147871,24.9884714
,67.6369229,25.0880153
,67.606792,25.0774139
,67.6114901,25.01149
,67.6126868,25.0296553
,67.626389,25.1125141
,67.6337625,25.146521
,67.6159957,25.0711844
,67.6553171,25.0384246
,67.5722104,25.0075527
,67.6017436,25.1033795
,67.6724732,25.0127954
,67.5897249,25.12728
,67.6791668,25.05434
,67.6569124,24.9889892
,67.6655882,25.0160147
,67.5650614,25.0796415
,67.3526187,24.9784263
,67.5865423,24.8536403
,67.3016575,24.9384086
,67.463444,24.8106451
,67.3669545,24.9530076
,67.6986023,24.9859749
,67.4496679,24.9742251
,67.3669942,24.9114078
,67.6643772,24.8953137
,67.6581219,24.9579161
,67.3704887,24.9525973
,67.6123107,25.0345844
,67.7048623,25.0375312
,67.5348423,25.06561
,67.5606524,25.1237135
,67.5661883,24.9875152
,67.5376129,24.996354
,67.3502579,25.0567143
,67.445141,25.1162635
,67.3754756,25.1246271
,67.4813686,25.1906596
,67.3251819,25.0799001
,67.4452857,25.0753645
,67.4516886,25.1337196
,67.3283937,25.0661129
,67.5740285,24.9685306
,67.566861,24.8548777
,67.5071057,24.8304037
,67.5587029,24.8435848
,67.6166404,24.8723221
,67.6387447,24.8570901
,67.491041,24.8375873
,67.4482529,24.9114346
,67.3462835,24.9717283
,67.5649697,24.9234868
,67.5137775,25.1989875
,67.5731517,25.0132033
,67.5475619,25.0148119
