source_id,J mag,H mag,Ks mag,J-Ks (0.50-0.90),Status,Reasons,_passed,_ra,_dec
1.632274532427332e+17,12.09,11.07,10.7,1.39,FAILED,J-Ks=1.39,False,63.333251839356954,28.172959234373355
1.5114921063577805e+17,12.17,11.2,10.89,1.27,FAILED,J-Ks=1.27,False,68.07986992635716,26.46726951193044
